_id,temp_c,temp_f,humidity,createdAt
65bbe15e2b76075204920f21,23.4,74.12,94,Fri Feb 02 2024 00:22:22 GMT+0600 (Bangladesh Standard Time)
65bbe1672b76075204920f22,23.4,74.12,94,Fri Feb 02 2024 00:22:31 GMT+0600 (Bangladesh Standard Time)
65bbe1722b76075204920f23,23.4,74.12,94,Fri Feb 02 2024 00:22:42 GMT+0600 (Bangladesh Standard Time)
65bbe17e2b76075204920f24,23.4,74.12,94,Fri Feb 02 2024 00:22:54 GMT+0600 (Bangladesh Standard Time)
65bbe1892b76075204920f25,23.4,74.12,94,Fri Feb 02 2024 00:23:05 GMT+0600 (Bangladesh Standard Time)
65bbe1982b76075204920f26,23.4,74.12,94,Fri Feb 02 2024 00:23:20 GMT+0600 (Bangladesh Standard Time)
65bbe1a32b76075204920f27,23.4,74.12,94,Fri Feb 02 2024 00:23:31 GMT+0600 (Bangladesh Standard Time)
65bbe1ae2b76075204920f28,23.4,74.12,94,Fri Feb 02 2024 00:23:42 GMT+0600 (Bangladesh Standard Time)
65bbe1ba2b76075204920f29,23.4,74.12,94,Fri Feb 02 2024 00:23:54 GMT+0600 (Bangladesh Standard Time)
65bbe1c62b76075204920f2a,23.4,74.12,94,Fri Feb 02 2024 00:24:06 GMT+0600 (Bangladesh Standard Time)
65bbe1d12b76075204920f2b,23.4,74.12,94,Fri Feb 02 2024 00:24:17 GMT+0600 (Bangladesh Standard Time)
65bbe1dc2b76075204920f2c,23.4,74.12,94,Fri Feb 02 2024 00:24:28 GMT+0600 (Bangladesh Standard Time)
65bbe1e82b76075204920f2d,23.4,74.12,94,Fri Feb 02 2024 00:24:40 GMT+0600 (Bangladesh Standard Time)
65bbe1f42b76075204920f2e,23.4,74.12,94,Fri Feb 02 2024 00:24:52 GMT+0600 (Bangladesh Standard Time)
65bbe1ff2b76075204920f2f,23.4,74.12,94,Fri Feb 02 2024 00:25:03 GMT+0600 (Bangladesh Standard Time)
65bbe20a2b76075204920f30,23.4,74.12,94,Fri Feb 02 2024 00:25:14 GMT+0600 (Bangladesh Standard Time)
65bbe2362b76075204920f31,23.4,74.12,94,Fri Feb 02 2024 00:25:58 GMT+0600 (Bangladesh Standard Time)
65bbe2422b76075204920f32,23.4,74.12,94,Fri Feb 02 2024 00:26:10 GMT+0600 (Bangladesh Standard Time)
65bbe24d2b76075204920f33,23.4,74.12,94,Fri Feb 02 2024 00:26:21 GMT+0600 (Bangladesh Standard Time)
65bbe2592b76075204920f34,23.4,74.12,94,Fri Feb 02 2024 00:26:33 GMT+0600 (Bangladesh Standard Time)
65bbe2672b76075204920f35,23.4,74.12,94,Fri Feb 02 2024 00:26:47 GMT+0600 (Bangladesh Standard Time)
65bbe2752b76075204920f36,23.4,74.12,94,Fri Feb 02 2024 00:27:01 GMT+0600 (Bangladesh Standard Time)
65bbe2802b76075204920f37,23.4,74.12,94,Fri Feb 02 2024 00:27:12 GMT+0600 (Bangladesh Standard Time)
65bbe28c2b76075204920f38,23.4,74.12,94,Fri Feb 02 2024 00:27:24 GMT+0600 (Bangladesh Standard Time)
65bbe2972b76075204920f39,23.4,74.12,94,Fri Feb 02 2024 00:27:35 GMT+0600 (Bangladesh Standard Time)
65bbe2a32b76075204920f3a,23.4,74.12,94,Fri Feb 02 2024 00:27:47 GMT+0600 (Bangladesh Standard Time)
65bbe2be2b76075204920f3b,23.4,74.12,94,Fri Feb 02 2024 00:28:14 GMT+0600 (Bangladesh Standard Time)
