_id,temp_c,temp_f,humidity,validity
65bbdf1b2b76075204920ef0,23.4,74.12,94,1
65bbdf262b76075204920ef1,23.4,74.12,94,1
65bbdf322b76075204920ef2,23.4,74.12,94,1
65bbdf3d2b76075204920ef3,23.4,74.12,94,1
65bbdf492b76075204920ef4,23.4,74.12,94,1
65bbdf542b76075204920ef5,23.4,74.12,94,1
65bbdf602b76075204920ef6,23.4,74.12,94,1
65bbdf6b2b76075204920ef7,23.4,74.12,94,1
65bbdf762b76075204920ef8,23.4,74.12,94,1
65bbdf822b76075204920ef9,23.4,74.12,95,1
65bbdf8e2b76075204920efa,23.6,74.48,95,1
65bbdf992b76075204920efb,23.8,74.84,95,1
65bbdfa52b76075204920efc,23.8,74.84,95,1
65bbdfb12b76075204920efd,23.8,74.84,95,1
65bbdfbc2b76075204920efe,23.8,74.84,95,1
65bbdfc82b76075204920eff,23.8,74.84,95,1
65bbdfd32b76075204920f00,23.8,74.84,95,1
65bbdfdf2b76075204920f01,23.8,74.84,95,1
65bbdfea2b76075204920f02,23.8,74.84,94,1
65bbdff62b76075204920f03,23.8,74.84,94,1
65bbe0012b76075204920f04,23.8,74.84,94,1
65bbe00c2b76075204920f05,23.8,74.84,94,1
65bbe0182b76075204920f06,23.7,74.66,94,1
65bbe0232b76075204920f07,23.4,74.12,94,1
65bbe02f2b76075204920f08,23.4,74.12,94,1
65bbe03a2b76075204920f09,23.4,74.12,94,1
65bbe0462b76075204920f0a,23.4,74.12,94,1
65bbe0512b76075204920f0b,23.4,74.12,94,1
65bbe05d2b76075204920f0c,23.4,74.12,94,1
65bbe0682b76075204920f0d,23.4,74.12,94,1
65bbe0732b76075204920f0e,23.4,74.12,94,1
65bbe07f2b76075204920f0f,23.4,74.12,94,1
65bbe08a2b76075204920f10,23.4,74.12,94,1
65bbe0962b76075204920f11,23.4,74.12,94,1
65bbe0a12b76075204920f12,23.4,74.12,94,1
65bbe0ad2b76075204920f13,23.4,74.12,94,1
65bbe0b82b76075204920f14,23.4,74.12,94,1
65bbe0c42b76075204920f15,23.4,74.12,94,1
65bbe0cf2b76075204920f16,23.4,74.12,94,1
65bbe0db2b76075204920f17,23.4,74.12,94,1
65bbe0e72b76075204920f18,23.4,74.12,94,1
65bbe0f52b76075204920f19,23.4,74.12,94,1
65bbe1002b76075204920f1a,23.4,74.12,94,1
65bbe10c2b76075204920f1b,23.4,74.12,94,1
65bbe1172b76075204920f1c,23.4,74.12,94,1
65bbe1232b76075204920f1d,23.4,74.12,94,1
65bbe1312b76075204920f1e,23.4,74.12,94,1
65bbe13d2b76075204920f1f,23.4,74.12,94,1
65bbe15c2b76075204920f20,23.4,74.12,94,1
65bbe15e2b76075204920f21,23.4,74.12,94,1
65bbe1672b76075204920f22,23.4,74.12,94,1
65bbe1722b76075204920f23,23.4,74.12,94,1
65bbe17e2b76075204920f24,23.4,74.12,94,1
65bbe1892b76075204920f25,23.4,74.12,94,1
65bbe1982b76075204920f26,23.4,74.12,94,1
65bbe1a32b76075204920f27,23.4,74.12,94,1
